(1514682000000,[(5a4980f57c459f246b63d649,1)])
(1514685600000,[(5a4980f57c459f246b63d649,1)])
(1514689200000,[(5a49915f7c459f246b63d661,3), (5a4980f57c459f246b63d649,1)])
(1514692800000,[(5a49915f7c459f246b63d661,12), (5a4980f57c459f246b63d649,5)])
(1514696400000,[(5a49915f7c459f246b63d661,17), (5a4980f57c459f246b63d649,7)])
(1514700000000,[(5a49915f7c459f246b63d661,21), (5a4980f57c459f246b63d649,8)])
(1514703600000,[(5a49915f7c459f246b63d661,27), (5a4980f57c459f246b63d649,10)])
(1514707200000,[(5a49915f7c459f246b63d661,30), (5a4980f57c459f246b63d649,11)])
(1514710800000,[(5a49915f7c459f246b63d661,33), (5a4980f57c459f246b63d649,12)])
(1514714400000,[(5a49915f7c459f246b63d661,35), (5a4980f57c459f246b63d649,13)])
(1514718000000,[(5a49915f7c459f246b63d661,38), (5a4980f57c459f246b63d649,14)])
(1514721600000,[(5a49915f7c459f246b63d661,46), (5a4980f57c459f246b63d649,16)])
(1514725200000,[(5a49915f7c459f246b63d661,63), (5a4980f57c459f246b63d649,21)])
(1514728800000,[(5a49915f7c459f246b63d661,91), (5a4980f57c459f246b63d649,40), (5a4a0dc97c459f246b63d6c3,2)])
(1514732400000,[(5a49915f7c459f246b63d661,129), (5a4980f57c459f246b63d649,95), (5a4a30e37c459f246b63d6da,3)])
(1514736000000,[(5a49915f7c459f246b63d661,165), (5a4980f57c459f246b63d649,135), (5a4a0dc97c459f246b63d6c3,4)])
(1514739600000,[(5a49915f7c459f246b63d661,214), (5a4980f57c459f246b63d649,172), (5a4a0dc97c459f246b63d6c3,8)])
(1514743200000,[(5a49915f7c459f246b63d661,255), (5a4980f57c459f246b63d649,223), (5a4a0dc97c459f246b63d6c3,11)])
(1514746800000,[(5a4980f57c459f246b63d649,293), (5a49915f7c459f246b63d661,291), (5a4a75337c459f246b63d71b,13)])
(1514750400000,[(5a4980f57c459f246b63d649,336), (5a49915f7c459f246b63d661,312), (5a4a75337c459f246b63d71b,29)])
(1514754000000,[(5a4980f57c459f246b63d649,381), (5a49915f7c459f246b63d661,329), (5a4a75337c459f246b63d71b,48)])
(1514757600000,[(5a4980f57c459f246b63d649,423), (5a49915f7c459f246b63d661,347), (5a4a75337c459f246b63d71b,67)])
(1514761200000,[(5a4980f57c459f246b63d649,456), (5a49915f7c459f246b63d661,359), (5a4a75337c459f246b63d71b,80)])
(1514764800000,[(5a4980f57c459f246b63d649,479), (5a49915f7c459f246b63d661,366), (5a4a75337c459f246b63d71b,89)])
