(1514764800000,[(5a4980f57c459f246b63d649,1)])
(1514772000000,[(5a49915f7c459f246b63d661,3)])
(1514775600000,[(5a49915f7c459f246b63d661,9), (5a4980f57c459f246b63d649,4)])
(1514779200000,[(5a49915f7c459f246b63d661,5), (5a4980f57c459f246b63d649,2)])
(1514782800000,[(5a49915f7c459f246b63d661,4), (5a4980f57c459f246b63d649,1)])
(1514786400000,[(5a49915f7c459f246b63d661,6), (5a4980f57c459f246b63d649,2)])
(1514790000000,[(5a49915f7c459f246b63d661,3), (5a4980f57c459f246b63d649,1)])
(1514793600000,[(5a49915f7c459f246b63d661,3), (5a4980f57c459f246b63d649,1)])
(1514797200000,[(5a49915f7c459f246b63d661,2), (5a4980f57c459f246b63d649,1)])
(1514800800000,[(5a49915f7c459f246b63d661,3), (5a4980f57c459f246b63d649,1)])
(1514804400000,[(5a49915f7c459f246b63d661,8), (5a4980f57c459f246b63d649,2)])
(1514808000000,[(5a49915f7c459f246b63d661,17), (5a4980f57c459f246b63d649,5)])
(1514811600000,[(5a49915f7c459f246b63d661,28), (5a4980f57c459f246b63d649,19), (5a4a0dc97c459f246b63d6c3,2)])
(1514815200000,[(5a4980f57c459f246b63d649,55), (5a49915f7c459f246b63d661,38), (5a4a30e37c459f246b63d6da,3)])
(1514818800000,[(5a4980f57c459f246b63d649,40), (5a49915f7c459f246b63d661,36), (5a4a0dc97c459f246b63d6c3,2)])
(1514822400000,[(5a49915f7c459f246b63d661,49), (5a4980f57c459f246b63d649,37), (5a4a0dc97c459f246b63d6c3,4)])
(1514826000000,[(5a4980f57c459f246b63d649,51), (5a49915f7c459f246b63d661,41), (5a4a0dc97c459f246b63d6c3,3)])
(1514829600000,[(5a4980f57c459f246b63d649,70), (5a49915f7c459f246b63d661,36), (5a4a75337c459f246b63d71b,13)])
(1514833200000,[(5a4980f57c459f246b63d649,43), (5a49915f7c459f246b63d661,21), (5a4a75337c459f246b63d71b,16)])
(1514836800000,[(5a4980f57c459f246b63d649,45), (5a4a75337c459f246b63d71b,19), (5a49915f7c459f246b63d661,17)])
(1514840400000,[(5a4980f57c459f246b63d649,42), (5a4a75337c459f246b63d71b,19), (5a49915f7c459f246b63d661,18)])
(1514844000000,[(5a4980f57c459f246b63d649,33), (5a4a75337c459f246b63d71b,13), (5a49915f7c459f246b63d661,12)])
(1514847600000,[(5a4980f57c459f246b63d649,23), (5a4aa7937c459f246b63d747,15), (5a4a75337c459f246b63d71b,9)])
(1514851200000,[(5a4980f57c459f246b63d649,30), (5a4aa7937c459f246b63d747,17), (5a4a75337c459f246b63d71b,9)])
(1514854800000,[(5a4980f57c459f246b63d649,19), (5a4a75337c459f246b63d71b,9), (5a4aa7937c459f246b63d747,8)])
(1514858400000,[(5a4980f57c459f246b63d649,18), (5a4aa7937c459f246b63d747,6), (5a49915f7c459f246b63d661,6)])
(1514862000000,[(5a4af08f7c459f246b63d781,45), (5a4ac0a57c459f246b63d762,27), (5a4ab3fd7c459f246b63d755,21)])
(1514865600000,[(5a4af08f7c459f246b63d781,45), (5a4ab3fd7c459f246b63d755,30), (5a4aa7937c459f246b63d747,26)])
(1514869200000,[(5a4af08f7c459f246b63d781,35), (5a4ab3fd7c459f246b63d755,20), (5a4aa7937c459f246b63d747,17)])
(1514872800000,[(5a4af08f7c459f246b63d781,27), (5a4ab3fd7c459f246b63d755,15), (5a4ac0a57c459f246b63d762,8)])
(1514876400000,[(5a4af08f7c459f246b63d781,29), (5a4ab3fd7c459f246b63d755,13), (5a4ac0a57c459f246b63d762,10)])
