(1514246400000,[(5a4980f57c459f246b63d649,479), (5a49915f7c459f246b63d661,366), (5a4a75337c459f246b63d71b,89)])
(1514332800000,[(5a4af08f7c459f246b63d781,1082), (5a4bd8c47c459f246b63d8d1,747), (5a4ac0a57c459f246b63d762,663)])
(1514419200000,[(5a4e76657c459f29e79b21da,1284), (5a4bd8c47c459f246b63d8d1,1152), (5a4af08f7c459f246b63d781,1113)])
(1514505600000,[(5a4e76657c459f29e79b21da,2299), (5a4bd8c47c459f246b63d8d1,1152), (5a4af08f7c459f246b63d781,1113)])
(1514592000000,[(5a4e76657c459f29e79b21da,2299), (5a4ea68b7c459f29e79b258b,1627), (5a4ec8927c459f29e79b25e2,1515)])
(1514678400000,[(5a4e76657c459f29e79b21da,2299), (5a4ea68b7c459f29e79b258b,1648), (5a4fc38a7c459f29e79b2800,1550)])
(1514764800000,[(5a4e76657c459f29e79b21da,2299), (5a4ea68b7c459f29e79b258b,1648), (5a4fc38a7c459f29e79b2800,1550)])
(1514851200000,[(5a4e76657c459f29e79b21da,2299), (5a4ea68b7c459f29e79b258b,1648), (5a4fc38a7c459f29e79b2800,1550)])
(1514937600000,[(5a4e76657c459f29e79b21da,2299), (5a538abf7c459f29e79b2d48,1817), (5a4ea68b7c459f29e79b258b,1648)])
(1515024000000,[(5a538abf7c459f29e79b2d48,1824), (5a4ea68b7c459f29e79b258b,1648), (5a4fc38a7c459f29e79b2800,1550)])
(1515110400000,[(5a538abf7c459f29e79b2d48,1824), (5a4ea68b7c459f29e79b258b,1647), (5a4fc38a7c459f29e79b2800,1550)])
(1515196800000,[(5a538abf7c459f29e79b2d48,1824), (5a52cfb37c459f29e79b2bd9,1485), (5a540ae57c459f29e79b2e94,1320)])
(1515283200000,[(5a538abf7c459f29e79b2d48,1824), (5a58af9f7c459f29e79b3a29,1577), (5a52cfb37c459f29e79b2bd9,1485)])
(1515369600000,[(5a538abf7c459f29e79b2d48,1824), (5a58af9f7c459f29e79b3a29,1577), (5a52cfb37c459f29e79b2bd9,1485)])
(1515456000000,[(5a58af9f7c459f29e79b3a29,1577), (5a5c069c7c459f29e79b3f4f,1505), (5a5b8cb67c459f29e79b3e9c,1394)])
(1515542400000,[(5a58af9f7c459f29e79b3a29,1577), (5a5c069c7c459f29e79b3f4f,1535), (5a5b8cb67c459f29e79b3e9c,1504)])
(1515628800000,[(5a58af9f7c459f29e79b3a29,1577), (5a5c069c7c459f29e79b3f4f,1535), (5a5b8cb67c459f29e79b3e9c,1504)])
