1515369630000[{64646953=Score: 1347.6}, {77757865=Score: 1133.2}, {76165388=Score: 1037.3999999999999}, {69563353=Score: 937.0}, {46565646=Score: 934.9}, {79437344=Score: 774.7}, {74662660=Score: 728.8000000000001}, {78124169=Score: 701.2}, {56606505=Score: 690.4}, {67959084=Score: 608.2}]
1515974450000[{64354920=Score: 946.8}, {60674711=Score: 820.8}, {84321641=Score: 659.4}, {66076737=Score: 615.1}, {15701094=Score: 544.8}, {54547503=Score: 485.4}, {60783017=Score: 417.4}, {66418833=Score: 365.2}, {72396715=Score: 361.59999999999997}, {2289495=Score: 349.09999999999997}]
1516579221000[{57916836=Score: 852.1}, {48038238=Score: 803.8000000000001}, {81039269=Score: 713.2}, {73512218=Score: 649.1}, {54928688=Score: 630.3}, {1246834=Score: 587.5}, {68214711=Score: 510.3}, {63336211=Score: 491.29999999999995}, {67565529=Score: 430.99999999999994}, {60851162=Score: 413.40000000000003}]
1517184064000[{84538667=Score: 669.6}, {62380218=Score: 639.8}, {76012420=Score: 579.8}, {62354834=Score: 479.1}, {80543630=Score: 471.19999999999993}, {20990381=Score: 462.79999999999995}, {46664848=Score: 439.99999999999994}, {32794980=Score: 438.4}, {77928171=Score: 355.5}, {72356297=Score: 332.59999999999997}]
1517788812000[{12949267=Score: 1073.5}, {4120391=Score: 1005.6}, {67691516=Score: 818.2}, {72918945=Score: 692.7}, {78434669=Score: 564.6}, {76295192=Score: 492.7}, {64440825=Score: 459.3}, {34881871=Score: 451.99999999999994}, {76084341=Score: 411.90000000000003}, {64484784=Score: 394.2}]
1518393610000[{58708373=Score: 559.6}, {10344179=Score: 526.3000000000001}, {41126079=Score: 519.9}, {44060027=Score: 517.9}, {76340271=Score: 492.3}, {50341182=Score: 486.6}, {79257649=Score: 425.1}, {67811653=Score: 369.6}, {41824747=Score: 367.0}, {65005339=Score: 359.7}]
1518998518000[{16909483=Score: 844.3000000000001}, {45840695=Score: 796.5}, {66221729=Score: 688.4}, {9437749=Score: 618.1}, {62096858=Score: 528.3}, {77152345=Score: 473.1}, {11155748=Score: 416.7}, {56243522=Score: 370.99999999999994}, {74505427=Score: 358.59999999999997}, {49423241=Score: 331.59999999999997}]
1519603201000[{79751302=Score: 1064.9999999999998}, {44480515=Score: 575.7}, {64565279=Score: 519.7}, {56545526=Score: 444.7}, {80547381=Score: 426.6}, {84961100=Score: 423.6}, {47372875=Score: 418.2}, {68251377=Score: 399.90000000000003}, {62843974=Score: 381.4}, {77653522=Score: 358.29999999999995}]
1520208165000[{74234146=Score: 288.79999999999995}, {78548008=Score: 278.1}, {53857271=Score: 246.29999999999998}, {65277043=Score: 240.89999999999998}, {20453388=Score: 240.89999999999998}, {51862193=Score: 208.5}, {5979628=Score: 186.0}, {76949338=Score: 162.0}, {77937717=Score: 157.5}, {70224973=Score: 137.2}]
1520814826000[{68521406=Score: 17.2}, {67389179=Score: 6.1}, {64401061=Score: 2.5}, {49484120=Score: 2.3999999999999995}, {49716641=Score: 2.0999999999999996}, {66689150=Score: 1.7}, {73040469=Score: 1.4}, {79233918=Score: 1.4}, {788867=Score: 1.4}, {59282180=Score: 1.4}]
1521420433000[{11144559=Score: 1.4}, {42879545=Score: 1.0}, {30006326=Score: 1.0}, {80675882=Score: 0.7}, {81560030=Score: 0.7}, {83886871=Score: 0.7}, {165637=Score: 0.7}, {51807336=Score: 0.7}, {54101121=Score: 0.7}, {85134632=Score: 0.7}]
1522027842000[{85372754=Score: 2.0999999999999996}, {58602547=Score: 1.0}, {66945986=Score: 0.7}, {73237950=Score: 0.7}, {20448563=Score: 0.7}, {984363=Score: 0.7}, {65473398=Score: 0.7}, {68521406=Score: 0.7}, {84773025=Score: 0.7}, {71900508=Score: 0.7}]
1522629544000[{6495955=Score: 1.4}, {67711219=Score: 1.0}, {61081238=Score: 0.7}, {51807336=Score: 0.7}, {85134632=Score: 0.7}, {74779631=Score: 0.7}, {20813028=Score: 0.7}, {47027282=Score: 0.7}, {48339525=Score: 0.7}, {64825790=Score: 0.7}]
1523236091000[{36218240=Score: 2.0999999999999996}, {77809927=Score: 1.5999999999999999}, {788867=Score: 1.4}, {53165245=Score: 1.4}, {60834232=Score: 1.4}, {37475235=Score: 1.4}, {72389189=Score: 1.0}, {60702762=Score: 1.0}, {68521406=Score: 0.7}, {45189990=Score: 0.7}]
1523841028000[{59105249=Score: 2.3}, {3630212=Score: 1.4}, {14577152=Score: 1.4}, {20365654=Score: 1.0}, {78169502=Score: 1.0}, {77745840=Score: 1.0}, {68996657=Score: 1.0}, {85070149=Score: 0.8999999999999999}, {55051474=Score: 0.7}, {72389189=Score: 0.7}]
